Run,LoadDate,Experiment,SRAStudy,BioProject,Sample,BioSample,SampleName,Submission,dbgap_study_accession,age,race,sex
SRR11652531,30/04/2020 13:05,SRX8213570,SRP259314,PRJNA629498,SRS6572798,SAMN14777247,GSM4506311,SRA1070729,,43,Caucasian,male
SRR11652533,30/04/2020 13:01,SRX8213572,SRP259314,PRJNA629498,SRS6572800,SAMN14777245,GSM4506313,SRA1070729,,35,Caucasian,male
SRR11652535,30/04/2020 13:03,SRX8213574,SRP259314,PRJNA629498,SRS6572802,SAMN14777243,GSM4506315,SRA1070729,,26,Caucasian,female
SRR11652537,30/04/2020 12:48,SRX8213576,SRP259314,PRJNA629498,SRS6572804,SAMN14777241,GSM4506317,SRA1070729,,23,Caucasian,female
SRR11652539,30/04/2020 12:52,SRX8213578,SRP259314,PRJNA629498,SRS6572806,SAMN14777239,GSM4506319,SRA1070729,,24,Caucasian,female
SRR7895506,24/09/2018 14:21,SRX4732970,SRP162455,PRJNA492897,SRS3815166,SAMN10113662,GSM3398918,SRA782905,,26,,
SRR7895507,24/09/2018 14:19,SRX4732971,SRP162455,PRJNA492897,SRS3815167,SAMN10113661,GSM3398919,SRA782905,,26,,
SRR7895508,24/09/2018 14:21,SRX4732972,SRP162455,PRJNA492897,SRS3815168,SAMN10113660,GSM3398920,SRA782905,,26,,
SRR7895509,24/09/2018 14:21,SRX4732973,SRP162455,PRJNA492897,SRS3815169,SAMN10113659,GSM3398921,SRA782905,,26,,
SRR7895510,24/09/2018 14:20,SRX4732974,SRP162455,PRJNA492897,SRS3815170,SAMN10113658,GSM3398922,SRA782905,,26,,
SRR7895511,24/09/2018 14:18,SRX4732975,SRP162455,PRJNA492897,SRS3815171,SAMN10113657,GSM3398923,SRA782905,,26,,
SRR3352080,09/04/2016 19:29,SRX1688608,SRP073050,PRJNA317907,SRS1383311,SAMN04631208,GSM2112705,SRA407712,,25,,
SRR3352081,09/04/2016 19:00,SRX1688609,SRP073050,PRJNA317907,SRS1383310,SAMN04631209,GSM2112706,SRA407712,,39,,
SRR3352082,09/04/2016 19:49,SRX1688610,SRP073050,PRJNA317907,SRS1383309,SAMN04631210,GSM2112707,SRA407712,,35,,
SRR3352083,09/04/2016 19:38,SRX1688611,SRP073050,PRJNA317907,SRS1383306,SAMN04631211,GSM2112708,SRA407712,,30,,
SRR3352084,09/04/2016 19:14,SRX1688612,SRP073050,PRJNA317907,SRS1383308,SAMN04631212,GSM2112709,SRA407712,,31,,
SRR3352085,09/04/2016 19:18,SRX1688613,SRP073050,PRJNA317907,SRS1383307,SAMN04631213,GSM2112710,SRA407712,,35,,
